symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
NCLH,ARCA,largecap,USD,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2013-01-18,2020-05-11
NDAQ,ARCA,largecap,USD,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2002-07-01,2020-05-11
NEE,ARCA,largecap,USD,NextEra Energy,Utilities,Multi-Utilities,1994-01-03,2020-05-11
NEM,ARCA,largecap,USD,Newmont Goldcorp,Materials,Gold,1994-01-03,2020-05-11
NFLX,ARCA,largecap,USD,Netflix Inc.,Information Technology,Movies & Entertainment,2002-05-23,2020-05-08
NI,ARCA,largecap,USD,NiSource Inc.,Utilities,Multi-Utilities,1994-01-03,2020-05-11
NKE,ARCA,largecap,USD,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1994-01-03,2020-05-11
NLOK,ARCA,largecap,USD,NortonLifeLock,Information Technology,Application Software,2019-03-08,2020-05-11
NLSN,ARCA,largecap,USD,Nielsen Holdings,Industrials,Research & Consulting Services,2011-01-27,2020-05-11
NOC,ARCA,largecap,USD,Northrop Grumman,Industrials,Aerospace & Defense,1994-01-03,2020-05-08
NOV,ARCA,largecap,USD,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,1996-10-29,2020-05-11
NOW,ARCA,largecap,USD,ServiceNow,Information Technology,Systems Software,2012-06-29,2020-05-11
NRG,ARCA,largecap,USD,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2003-12-02,2020-05-11
NSC,ARCA,largecap,USD,Norfolk Southern Corp.,Industrials,Railroads,1994-01-03,2020-05-11
NTAP,ARCA,largecap,USD,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1995-11-21,2020-05-11
NTRS,ARCA,largecap,USD,Northern Trust Corp.,Financials,Asset Management & Custody Banks,1994-01-03,2020-05-11
NUE,ARCA,largecap,USD,Nucor Corp.,Materials,Steel,1994-01-03,2020-05-11
NVDA,ARCA,largecap,USD,Nvidia Corporation,Information Technology,Semiconductors,1999-01-22,2020-05-11
NVR,ARCA,largecap,USD,NVR Inc,Consumer Discretionary,Homebuilding,1994-01-03,2020-05-08
NWL,ARCA,largecap,USD,Newell Brands,Consumer Discretionary,Housewares & Specialties,1994-01-03,2020-05-11
NWSA,ARCA,largecap,USD,News Corp. Class A,Information Technology,Publishing,2013-06-19,2020-05-11
O,ARCA,largecap,USD,Realty Income Corporation,Real Estate,Retail REITs,1994-10-18,2020-05-11
ODFL,ARCA,largecap,USD,Old Dominion Freight Line,Industrials,Trucking,1994-01-03,2020-05-11
OKE,ARCA,largecap,USD,ONEOK,Energy,Oil & Gas Storage & Transportation,1994-01-03,2020-05-11
OMC,ARCA,largecap,USD,Omnicom Group,Information Technology,Advertising,1994-01-03,2020-05-08
ORCL,ARCA,largecap,USD,Oracle Corp.,Information Technology,Application Software,1994-01-03,2020-05-11
ORLY,ARCA,largecap,USD,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,1994-01-03,2020-05-11
OTIS,ARCA,largecap,USD,Otis Worldwide,Industrials,Industrial Machinery,2020-03-19,2020-05-11
OXY,ARCA,largecap,USD,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1994-01-03,2020-05-11
PAYC,ARCA,largecap,USD,Paycom,Information Technology,Application Software,2014-04-15,2020-05-08
PAYX,ARCA,largecap,USD,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,1994-01-03,2020-05-11
PBCT,ARCA,largecap,USD,People's United Financial,Financials,Thrifts & Mortgage Finance,1994-01-03,2020-05-11
PCAR,ARCA,largecap,USD,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,1994-01-03,2020-05-11
PEAK,ARCA,largecap,USD,Healthpeak Properties,Real Estate,Health Care REITs,1994-01-03,2020-05-11
PEG,ARCA,largecap,USD,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,1994-01-03,2020-05-11
PEP,ARCA,largecap,USD,PepsiCo Inc.,Consumer Staples,Soft Drinks,1994-01-03,2020-05-11
PFE,ARCA,largecap,USD,Pfizer Inc.,Health Care,Pharmaceuticals,1994-01-03,2020-05-11
PFG,ARCA,largecap,USD,Principal Financial Group,Financials,Life & Health Insurance,2001-10-23,2020-05-11
PG,ARCA,largecap,USD,Procter & Gamble,Consumer Staples,Personal Products,1994-01-03,2020-05-08
PGR,ARCA,largecap,USD,Progressive Corp.,Financials,Property & Casualty Insurance,1994-01-03,2020-05-11
PH,ARCA,largecap,USD,Parker-Hannifin,Industrials,Industrial Machinery,1994-01-03,2020-05-11
PHM,ARCA,largecap,USD,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,1994-01-03,2020-05-11
PKG,ARCA,largecap,USD,Packaging Corporation of America,Materials,Paper Packaging,2000-01-28,2020-05-11
PKI,ARCA,largecap,USD,PerkinElmer,Health Care,Health Care Equipment,1994-01-03,2020-05-11
