date,adj_open,adj_high,adj_low,adj_close,adj_volume
2002-07-30,43.3618,43.4414,43.2398,43.2398,11500.0
2002-07-31,43.4679,43.9188,43.4414,43.7756,55427.0
2002-08-01,43.7809,44.0355,43.7809,44.0249,47132.0
2002-08-02,44.1097,44.6083,43.9612,44.4757,99543.0
2002-08-05,44.5765,44.7887,44.4757,44.672,115191.0
2002-08-06,44.4863,44.5023,44.1416,44.2901,122355.0
2002-08-07,44.3431,44.6295,44.2158,44.3962,75977.0
2002-08-08,44.3325,44.4333,44.2158,44.3962,77108.0
2002-08-09,44.5553,45.0221,44.5553,45.0221,67682.0
2002-08-12,45.2448,45.9874,45.16,45.2979,60518.0
2002-08-13,45.4994,45.8654,45.2819,45.8548,142151.0
2002-08-14,46.3905,46.6239,46.0139,46.0298,245088.0
2002-08-15,45.8177,45.8813,45.5365,45.6267,164209.0
2002-08-16,45.8495,45.8919,44.9902,45.1175,160250.0
2002-08-19,45.1122,45.266,44.9319,45.2554,89174.0
2002-08-20,45.4145,45.7699,45.4039,45.7593,76920.0
2002-08-21,45.4464,45.6692,45.4199,45.5153,75411.0
2002-08-22,45.3774,45.3774,45.1175,45.1175,64854.0
2002-08-23,45.1918,45.5896,45.1918,45.5631,37894.0
2002-08-26,45.457,45.7275,45.4411,45.6055,45058.0
2002-08-27,45.2979,45.4464,45.1918,45.3191,568983.0
2002-08-28,45.6374,45.7116,45.5313,45.5472,34123.0
2002-08-29,46.0192,46.0723,45.8018,45.9131,255835.0
2002-08-30,46.0139,46.2155,45.8548,46.189,147241.0
2002-09-03,46.3877,46.8991,46.3451,46.8991,191664.0
2002-09-04,46.8937,47.0376,46.7925,46.8884,124459.0
2002-09-05,47.1814,47.224,46.5475,47.1441,1217192.0
2002-09-06,46.8618,46.979,46.4516,46.5901,262811.0
2002-09-09,46.6114,46.7872,46.4835,46.5208,157311.0
2002-09-10,46.4356,46.8778,46.345,46.7446,630746.0
2002-09-11,46.345,46.5049,46.2119,46.4995,333582.0
2002-09-12,46.6007,46.9523,46.5954,46.8618,81471.0
2002-09-13,47.0536,47.3785,46.9737,47.2933,291157.0
2002-09-16,47.517,47.5277,47.3572,47.3732,137037.0
2002-09-17,47.2187,47.5809,47.0695,47.4637,141542.0
2002-09-18,47.4957,47.7087,47.4211,47.4744,369062.0
2002-09-19,47.7833,47.8206,47.5489,47.794,206306.0
2002-09-20,47.6502,47.6875,47.4424,47.5703,213064.0
2002-09-23,47.9432,48.071,47.8207,47.9964,306362.0
2002-09-24,48.103,48.4439,48.055,48.3054,472872.0
2002-09-25,47.9964,48.1349,47.5489,47.7194,238782.0
2002-09-26,47.4371,47.6928,47.2027,47.6075,805329.0
2002-09-27,47.6928,47.9644,47.6661,47.9644,559788.0
2002-09-30,48.2947,48.4226,47.9858,48.1562,559036.0
2002-10-01,47.6766,47.7515,47.4841,47.559,481550.0
